,index,importance,name
0,294.64,0.029714723917877297,"CN,"
1,757.81,0.019838376009365846,
2,380.67,0.01982562932863381,
3,764.13,0.019824881854920914,
4,725.15,0.010005603990287265,"CN,"
5,864.9,0.009998617362244626,
6,848.59,0.009994384496561717,
7,1051.48,0.009989734866496373,
8,915.23,0.00998411164508608,
9,1042.52,0.009978082103343635,
10,685.83,0.00997698358214274,
11,605.65,0.009972985243416181,
12,1049.69,0.009968446788465347,
13,667.1,0.009952196496621504,
14,773.34,0.009945611882561257,
15,882.42,0.009937772153887726,
16,598.37,0.009936175672763146,"CO,"
17,902.91,0.009932301687141248,
18,399.02,0.009930284561951507,"CO,C3,"
19,825.93,0.009928965804109752,
20,1130.72,0.009928396055433065,
21,799.29,0.00992760624918524,
22,852.66,0.00992675543803955,
23,859.07,0.009926681872025027,
24,747.48,0.00992618617814069,
25,413.65,0.00992552498715454,
26,659.74,0.009925342697263617,
27,565.4,0.009924807520827403,
28,399.56,0.009922713443660401,"CO,C3,"
29,860.82,0.009922577733693873,
30,1161.53,0.009921189892729693,
31,892.36,0.009919197116233682,
32,725.72,0.009918507957523404,"CN,"
33,996.11,0.009918255246007562,
34,405.52,0.009918136570469947,"C3,"
35,887.68,0.009917882489567794,
36,525.97,0.009916830699306323,
37,463.22,0.009916816771115836,
38,1035.36,0.009916706653835787,
39,590.53,0.009915700513660137,"C2,"
40,451.74,0.009915459813574145,"CO,"
41,1037.75,0.009915259728784072,
42,348.97,0.009915214919220271,"CO,"
43,1145.21,0.00991446460593493,
44,729.72,0.009913547100472061,"C2O,"
45,415.27,0.00991309325946109,
46,591.65,0.00991192586907841,
47,1073.61,0.00991189295069616,
48,372.59,0.00991159019817088,"CO,"
49,1018.69,0.009911105628756838,
50,1123.49,0.009911042008246593,
51,443.56,0.00991057900986122,
52,871.9,0.009910046916397033,
53,1110.24,0.009909917149148333,
54,276.13,0.009909550592338877,
55,745.19,0.009909213631405258,
56,173.84,0.009909080723425336,
57,261.38,0.00990842177994192,
58,1118.67,0.00990809681927182,
59,545.37,0.00990795640236099,"CO,"
60,509.94,0.00990754183039466,
61,1098.82,0.009906014775600642,
62,1027.61,0.00990543266213151,
63,406.06,0.009905363214746615,
64,577.66,0.009905018482294123,
65,647.29,0.009904199151687715,"CN,"
66,393.08,0.009903948928638509,
67,771.61,0.00990375303034554,"C2,"
68,338.27,0.009903346724074238,"CHO,CO2+,"
69,551.48,0.009903103228902555,
70,676.17,0.009902992571624445,
71,579.9,0.009902905617874524,
72,660.87,0.009902869340112969,
73,889.44,0.009902487284650006,
74,1045.51,0.009901712953311019,
75,520.99,0.009901543423346771,
76,808.55,0.009900571030192097,
77,486.81,0.009899668535178067,
78,823.61,0.00989936098838197,
79,999.07,0.009898452479781765,
80,897.05,0.009897747375361912,
81,775.07,0.009897325178257694,
82,694.35,0.009896155371542745,
83,391.46,0.009893591721034491,"CN,"
84,1044.91,0.009892162414265993,
85,585.49,0.009890624706742774,"CN,"
86,502.22,0.009887344408330884,"CO,"
87,293.05,0.009887219631544746,"CO,"
88,542.6,0.009886964089981222,"C2,"
89,734.3,0.009886418971747671,
90,107.27,0.0098801312406921,
91,1034.77,0.009877534871317664,
92,367.21,0.009876308514847842,"CO,CO2+,"
93,473.08,0.009869704466618575,"C2,"
94,97.12,0.009867191607331752,
